ID,Title,Rating,Gender,Platform,Actual Price,Website Price,Offer %,After offer Price,Profit,Available Stocks
16695,Fashionable & Comfortable Bellies For Women  (Brown),3.9,Women,Flipkart,698,999,30.13%,698,0,0
5120,Combo Pack of 4 Casual Shoes Sneakers For Men  (Multicolor),3.8,Men,Flipkart,999,1999,50.03%,998.9,0.1,1
18391,Cilia Mode Leo Sneakers For Women  (White),4.4,Women,Flipkart,2749,4999,45.01%,2748.95,0.05,1
495,Men Black Sports Sandal,4.2,Men,Flipkart,518,724,15.85%,609.25,-91.25,1
16408,Men Green Sports Sandal,3.9,Men,Flipkart,1379,2299,40.02%,1378.94,0.06,1
2692,Women Pink Flats Sandal,4.1,Women,Flipkart,359,499,28.06%,358.98,0.02,0
3236,Women Navy Heels Sandal,4,Women,Flipkart,499,999,50.05%,499,0,1
14633,Women Blue Wedges Sandal,3.9,Women,Flipkart,209,1299,83.91%,209.01,-0.01,0
1872,Sneakers For Women  (Pink),4.2,Women,Flipkart,549,999,45.05%,548.95,0.05,1
1668,"Men Black, Beige Sandal",4.1,Men,Flipkart,809,899,10.01%,809.01,-0.01,0
12634,TEMPO Men's Combo Pack of 3 Synthetic Loafers & 2 Sneakers - Multicolour,3.3,Men,Amazon,999,999,0.00%,999,0,1
19065,Women Gold Heels Sandal,4,Women,Flipkart,599,1299,53.89%,598.97,0.03,1
17455,Flip Flops,4.1,Women,Flipkart,299,599,50.08%,299.02,-0.02,1
7526,Slippers,4.4,Women,Flipkart,599,1199,50.04%,599.02,-0.02,1
15555,adilette CF+ logo Slides,4.5,Men,Flipkart,1979,3599,45.01%,1979.09,-0.09,1
18031,"Men Black, Blue Sports Sandal",4.2,Men,Flipkart,999,1999,50.03%,998.9,0.1,1
9354,Men Tan Sandal,4,Men,Flipkart,379,999,62.06%,379.02,-0.02,0
17732,Perfect Stylish Girls High Ankle Boots For Women  (Pink),4.2,Women,Flipkart,399,999,60.06%,399,0,1
4549,Perfect Stylish Girls Casual Shoes Sneakers For Women  (White),3.9,Women,Flipkart,399,999,60.06%,399,0,0
12336,Women Beige Heels Sandal,4,Women,Flipkart,499,999,50.05%,499,0,0
2917,170 Smart Grey Lace-Ups Casuals for Men Sneakers For Men  (Grey),4,Men,Flipkart,236,499,52.71%,235.98,0.02,1
7379,Women Multicolor Flats Sandal,3.6,Women,Flipkart,175,499,64.93%,175,0,1
10536,Stylish Flat Mules for women Bellies For Women  (Tan),4,Women,Flipkart,225,699,67.81%,225.01,-0.01,1
18886,crocs Unisex's Clogs,4.7,Women,Amazon,1596,1607,0.68%,1596.07,-0.07,0
2193,GO WALK JOY-CENTERPIECE Walking Shoes For Women  (Navy),4.4,Women,Flipkart,3009,4299,30.01%,3008.87,0.13,1
15609,flip-flops slipper for men Flip Flops,4,Men,Flipkart,199,599,66.78%,198.99,0.01,1
17976,Flip Flops,4.1,Women,Flipkart,249,399,37.59%,249.02,-0.02,0
19308,Boots For Women  (Brown),4.2,Women,Flipkart,599,999,40.04%,599,0,1
970,Intraflux M Running Shoes For Men  (Grey),4.1,Men,Flipkart,2165,3880,45.01%,2133.61,31.39,1
13094,Women Black Flats Sandal,4.1,Women,Flipkart,831,1695,50.97%,831.06,-0.06,1
17412,Trendy Look Up Jeans And Kurta Pajama/Synthetic Ethnic Shoes For Men Ethnic Mule For Men  (Black),3.8,Men,Flipkart,499,999,50.05%,499,0,0
10916,Jutis For Women  (Multicolor),4.1,Women,Flipkart,399,999,60.06%,399,0,0
17709,Fila Men's Bryant Sneakers,3.7,Men,Amazon,564,1597,64.68%,564.06,-0.06,1
10946,Jutis For Women  (Pink),3.9,Women,Flipkart,199,499,60.12%,199,0,0
10528,"Bouncer-01 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight blue shoes for running, walking, gym, trekking, hiking & party Running Shoes Running Shoes For Men  (Blue)",4.1,Men,Flipkart,759,999,24.02%,759.04,-0.04,1
14244,Walking Shoes For Men  (Grey),4,Men,Flipkart,782,999,21.72%,782.02,-0.02,1
10780,Canvas Shoes For Men  (Red),4,Men,Flipkart,658,999,34.13%,658.04,-0.04,0
9992,FASHION SHOE Loafers For Men  (Brown),4.3,Men,Flipkart,400,999,59.96%,400,0,1
20804,"Men Brown, Orange Sports Sandal",4.1,Undefined,Flipkart,819,999,18.02%,818.98,0.02,1
2851,Women Black Heels Sandal,4,Women,Flipkart,468,1499,68.78%,467.99,0.01,0
10752,"Women's/Ladies/Female/Girls Lightweight Comfortable, Casualwear Black High Ankle Length Lace-Up Boots Boots For Women Boots For Women  (Black)",4.4,Women,Flipkart,525,999,47.45%,524.97,0.03,0
4430,Slippers,3.6,Men,Flipkart,219,349,37.25%,219,0,0
19439,Women Yellow Flats Sandal,4.5,Women,Flipkart,899,1499,40.03%,898.95,0.05,1
1371,Women Red Heels Sandal,4.2,Women,Flipkart,1599,1699,5.89%,1598.93,0.07,0
14621,Boots For Women  (Black),4.2,Women,Flipkart,429,999,57.06%,428.97,0.03,1
20734,Party Wear For Men  (Tan),3.7,Men,Flipkart,499,799,37.55%,498.98,0.02,0
8442,"Women Girl's Fashion Printed Comfortable Soft Slip On Winter Bellies For Women  (Black, Blue)",4.2,Women,Flipkart,246,559,55.99%,246.02,-0.02,1
4051,Shoes for Women Sneakers For Women  (Blue),4,Women,Flipkart,347,499,30.46%,347,0,1
10684,Canvas Shoes For Men  (Blue),4,Men,Flipkart,302,1799,83.21%,302.05,-0.05,0
6840,Jutis Bellies For Women  (Brown),3.4,Women,Flipkart,315,999,68.47%,314.98,0.02,0
6412,Flip Flops,4,Women,Flipkart,220,499,55.91%,220.01,-0.01,0
3239,DD66_4 Jutis For Women  (White),4.5,Women,Flipkart,1499,2500,40.04%,1499,0,0
16567,Slippers,4.3,Women,Flipkart,499,999,50.05%,499,0,1
12960,"Men Tan, Beige, Yellow Sandal",4.2,Men,Flipkart,389,999,61.06%,389.01,-0.01,0
5687,169 Smart Sky Blue Lace-Ups Casuals for Men Sneakers For Men  (Blue),4,Men,Flipkart,236,499,52.71%,235.98,0.02,1
6792,Bellies For Women  (Tan),4,Women,Flipkart,295,599,50.75%,295.01,-0.01,1
10908,Jungle Boots- Oil Stain & Water Resistant- Extra Cushion InnerSole -Light Weight Trekking Shoes Boots For Men (OliveGreen) Boots For Men  (Multicolor),4.3,Men,Flipkart,999,1399,28.59%,999.03,-0.03,1
16556,Flip Flops,3.4,Women,Flipkart,330,499,33.87%,329.99,0.01,0
14352,SYTHETIC Leather Punjabi Jutti Black Mojaris For Men  (Black),3.9,Men,Flipkart,399,999,60.06%,399,0,0
13313,RC3532 003 Lace Up For Men  (Brown),4.1,Men,Flipkart,1935,4299,54.99%,1934.98,0.02,1
5343,Kolhapuri Juttis Slip On For Men  (Tan),4.1,Men,Flipkart,999,1999,50.03%,998.9,0.1,1
